0	8500.27	0
1	184.341	0
2	184.341	0
3	184.341	0
4	184.341	10
5	36.0792	10
6	36.0792	10
7	36.0792	10
8	36.0792	10
9	36.0792	10
10	32.5065	10
11	32.5065	10
12	32.5065	10
13	32.5065	10
14	32.5065	10
15	32.5065	20
16	32.5065	20
17	25.2444	20
18	25.2444	20
19	24.0617	20
20	24.0617	20
21	24.0617	20
22	24.0617	20
23	24.0617	20
24	22.4405	20
25	22.4405	20
26	22.4405	20
27	22.4405	20
28	14.7065	20
29	14.7065	20
30	14.7065	20
31	14.7065	30
32	10.5307	30
33	10.5307	30
34	10.5307	30
35	10.5307	30
36	10.5307	30
37	10.5307	30
38	10.5307	30
39	10.5307	30
40	10.5307	30
41	10.5307	30
42	6.6034	40
43	6.6034	40
44	6.6034	40
45	6.6034	40
46	6.6034	40
47	6.6034	40
48	6.6034	40
49	6.6034	40
50	6.6034	40
51	6.6034	40
52	6.6034	40
53	6.6034	40
54	6.6034	40
55	6.6034	40
56	6.6034	40
57	6.6034	40
58	6.6034	50
59	6.6034	50
60	6.6034	50
61	6.6034	50
62	6.6034	50
63	6.6034	50
64	3.61516	50
65	3.61516	50
66	3.61516	50
67	3.61516	50
68	3.61516	50
69	3.61516	60
70	3.61516	60
71	3.61516	60
72	3.61516	60
73	3.61516	60
74	3.61516	60
75	3.61516	60
76	3.61516	60
77	3.61516	60
78	1.85152	60
79	1.85152	60
80	1.85152	60
81	1.85152	60
82	1.85152	60
83	1.85152	60
84	1.85152	60
85	1.85152	60
86	1.85152	70
87	1.85152	70
88	1.85152	70
89	1.85152	70
90	1.85152	70
91	1.85152	70
92	1.85152	70
93	1.85152	70
94	1.85152	70
95	1.85152	70
96	1.85152	80
97	1.85152	80
98	1.85152	80
99	1.85152	80
